Exercício;Competência;Credor;Fonte;Repasse
2025;JANEIRO;SAS;1.500.000.0000;R$ 600.892,34
2025;MARÇO;SAS;1.500.000.0000;R$ 325.927,95
2025;SETEMBRO;SAS;1.753.000.0000;R$ 963.451,88
2025;OUTUBRO;SAS;1.753.000.0000;R$ 345.121,70
2025;NOVEMBRO;SAS;1.753.000.0000;R$ 412.900,53
2025;JANEIRO;CÂMARA;1.500.000.0000;R$ 1.515.269,93
2025;FEVEREIRO;CÂMARA;1.500.000.0000;R$ 1.565.975,64
2025;FEVEREIRO;CÂMARA;1.500.000.0000;R$ 50.705,71
2025;MARÇO;CÂMARA;1.500.000.0000;R$ 1.565.975,64
2025;ABRIL;CÂMARA;1.500.000.0000;R$ 1.565.975,64
2025;MAIO;CÂMARA;1.500.000.0000;R$ 1.565.975,64
2025;JUNHO;CÂMARA;1.500.000.0000;R$ 1.565.975,64
2025;JULHO;CÂMARA;1.500.000.0000;R$ 1.565.975,64
2025;AGOSTO;CÂMARA;1.500.000.0000;R$ 1.565.975,64
2025;SETEMBRO;CÂMARA;1.500.000.0000;R$ 1.565.975,64
2025;OUTUBRO;CÂMARA;1.500.000.0000;R$ 1.565.975,64
2025;NOVEMBRO;CÂMARA;1.500.000.0000;R$ 1.565.975,64
2025;DEZEMBRO;CÂMARA;1.500.000.0000;R$ 1.565.975,64
2025;ABRIL;SIMPAS;1.500.000.0000;R$ 13.401.973,68
2025;AGOSTO;SIMPAS;1.500.000.0000;R$ 6.562.596,45
2025;DEZEMBRO;SIMPAS;1.500.000.0000;R$ 10.452.269,57
2025;FEVEREIRO;SIMPAS;1.500.000.0000;R$ 10.085.078,83
2025;JANEIRO;SIMPAS;1.500.000.0000;R$ 4.794.016,40
2025;JULHO;SIMPAS;1.500.000.0000;R$ 4.181.927,39
2025;JUNHO;SIMPAS;1.500.000.0000;R$ 6.528.038,08
2025;MARÇO;SIMPAS;1.500.000.0000;R$ 2.279.598,85
2025;NOVEMBRO;SIMPAS;1.500.000.0000;R$ 2.646.531,04
2025;OUTUBRO;SIMPAS;1.500.000.0000;R$ 11.095.718,84
2025;SETEMBRO;SIMPAS;1.500.000.0000;R$ 6.591.940,00
2025;JANEIRO;SIMPAS;1.501.000.0000;R$ 1.226.848,61
2025;JULHO;SIMPAS;1.501.000.0000;R$ 2.300.000,00
2025;DEZEMBRO;SIMPAS;2.500.000.0000;R$ 5.458.522,00
2025;NOVEMBRO;SIMPAS;2.500.000.0000;R$ 3.892.000,00
